Období;Statistika úrokových sazeb - nové obchody - úvěry: Měsíční, Úroková sazba, Domácnosti - obyvatelstvo, Spotřebitelské (bez KTK, BÚ a karet), CZK, Banky včetně stavebních spořitelen * (%);Statistika úrokových sazeb - nové obchody - úvěry: Měsíční, Úroková sazba, Domácnosti - obyvatelstvo, Na bydlení , CZK, Banky včetně stavebních spořitelen * (%);Statistika úrokových sazeb - nové obchody - úvěry: Měsíční, Úroková sazba, Domácnosti - obyvatelstvo, Hypoteční na bytové nemovitosti, CZK, Banky včetně stavebních spořitelen * (%);Statistika úrokových sazeb - nové obchody - úvěry: Měsíční, Úroková sazba, Domácnosti - obyvatelstvo, Stavební spoření, CZK, Banky včetně stavebních spořitelen * (%);Statistika úrokových sazeb - nové obchody - úvěry: Měsíční, Úroková sazba, Domácnosti - obyvatelstvo, Ostatní úvěry, CZK, Banky včetně stavebních spořitelen * (%);Statistika úrokových sazeb - nové obchody - úvěry: Měsíční, Úroková sazba, Domácnosti - obyvatelstvo, Kontokorentní a DZ na BÚ, CZK, Banky včetně stavebních spořitelen * (%);Statistika úrokových sazeb - nové obchody - úvěry: Měsíční, Úroková sazba, Domácnosti - obyvatelstvo, Úročený úvěr z kreditních karet, CZK, Banky včetně stavebních spořitelen * (%);
2023-11-30;9,27;5,42;5,31;6,97;5,65;20,47;25,89;
2023-10-31;9,37;5,43;5,31;6,92;5,73;20,49;23,9;
2023-09-30;9,52;5,5;5,34;7;5,72;20,53;23,89;
2023-08-31;9,62;5,5;5,33;6,88;5,64;20,49;23,9;
2023-07-31;9,62;5,42;5,28;6,71;5,77;20,23;23,65;
2023-06-30;9,51;5,4;5,23;6,72;5,69;20,2;23,67;
2023-05-31;9,53;5,31;5,13;6,65;5,68;20,35;23,69;
2023-04-30;9,45;5,3;5,12;6,49;5,52;20,26;23,71;
2023-03-31;9,49;5,19;4,99;6,75;5,41;20,31;23,56;
2023-02-28;9,56;5,08;4,85;6,68;5,66;20,41;23,59;
2023-01-31;9,75;4,86;4,64;6,63;5,19;20,6;23,63;
2022-12-31;9,66;4,88;4,68;6,62;5,22;20,58;23,66;
2022-11-30;9,63;4,84;4,61;6,64;5,04;20,11;23,67;
2022-10-31;9,69;4,86;4,63;6,64;6,99;20;23,66;
2022-09-30;9,7;4,89;4,64;6,66;6,93;20,17;23,71;
2022-08-31;9,72;4,77;4,55;6,61;7,09;20,06;23,71;
2022-07-31;9,42;4,72;4,53;6,26;6,78;19,92;23,77;
